网站,中国大陆月访问量（K）,网址
The Porn Dude,547,theporndude.com
AVSOX,544,avsox.net
AGREE美少女游戏联盟,569,galgamezo.cc
爱弹幕,520,idanmu.at
捷克論壇,529,jkforum.net
JAV321,573,jav321.com
Getchu,470,getchu.com
SpankBang,464,spankbang.com
YouPorn,467,youporn.com
國模網,435,guomoo.pw
JAV HD Quality,442,maxjav.com
Danbooru,407,donmai.us
伊莉討論區,446,eyny.com
MyGalgame,424,mmgal.com
卡提諾論壇,406,ck101.com
留园网,426,cool18.com
JAV Torrent Link,353,javtorrent.re
性吧,378,sex8.cc
GIF发源地,353,gifjia5.com
KissJAV,352,kissjav.com
星空论坛,312,seikuu.com
4chan,348,4chan.org
HELLVEN,342,hellven.net
Redtube,326,redtube.com
JAVFOR.ME,287,javfor.me
喵窝,309,nyavo.com
中文字幕下载,265,53zimu.com
AV.Movie,299,av.movie
Anime-Sharing,309,anime-sharing.com
喵绅士,308,hcomic.in
六六社,251,liuliushe.com
Xtube,257,xtube.com
WatchMyGirlfriend TV,241,watchmygirlfriend.tv
Konachan,263,konachan.com
7mm,234,7mm.tv
MGS動画,237,mgstage.com
HPJAV,228,hpjav.tv
MYHD1080,250,lsj1080.tv
素人系総合 wiki,249,sougouwiki.com
エロタレスト（eroterest）,230,eroterest.net
百撸社区,226,dizhi55.com
终点分享,248,zdfx.net
OneJAV,207,onejav.com
星宫BT,231,cosxcos.net
SEX.COM,217,sex.com
SEKU.TV,239,seku.tv
SEX169,198,b1b1s9.com
春滿四合院,206,spring4u.info
Gelbooru,210,gelbooru.com
JAVQD,221,javqd.com
カリビアンコム,204,caribbeancom.com
第六天魔王,191,mo3399.net
啪啪啪研习所,175,jav101.com
FC2コンテンツマーケット（电子市场）,190,adult.contents.fc2.com
比思論壇,1069,bi-si.xyz;hk-pic4.xyz;hkbbcc.xyz;hk-pic2.xyz
紳士の庭,1181,gmgard.com
SexInSex,1185,sexinsex.net
绯月Galgame,1242,2dkf.com;9moe.com
Nyaa Sukebei,1296,sukebei.nyaa.si
FANZA,1360,dmm.co.jp
Avgle,1395,avgle.com
幻想次元,1666,acg18.us
啪啪啪研习所,179,jav101.com
FC2コンテンツマーケット（电子市场）,187,adult.contents.fc2.com
Gelbooru,197,gelbooru.com
カリビアンコム,197,caribbeancom.com
第六天魔王,202,mo3399.net
SEX169,203,b1b1s9.com
JAVQD,204,javqd.com
春滿四合院,206,spring4u.info
星宫BT,208,cosxcos.net
OneJAV,220,onejav.com
SEX.COM,222,sex.com
エロタレスト（eroterest）,225,eroterest.net
百撸社区,226,dizhi55.com
终点分享,230,zdfx.net
MGS動画,237,mgstage.com
SEKU.TV,239,seku.tv
7mm,250,7mm.tv
六六社,251,liuliushe.com
素人系総合 wiki,254,sougouwiki.com
桃花族论坛 ,2542,thzthz.cc;thzdz.com;thz2.cc;taohuale.us
Xtube,257,xtube.com
WatchMyGirlfriend TV,257,watchmygirlfriend.tv
琉璃神社,2575,llss.mx;liuli.in;hacg.me
MYHD1080,265,lsj1080.tv
Konachan,268,konachan.com
喵绅士,274,hcomic.in
HPJAV,274,hpjav.tv
Anime-Sharing,275,anime-sharing.com
M-Team,2884,m-team.cc
中文字幕下载,289,53zimu.com
JAVFOR.ME,306,javfor.me
南+ South Plus / 北+ North Plus,3061,south-plus.net;white-plus.net
4chan,310,4chan.org
HELLVEN,310,hellven.net
AV.Movie,311,av.movie
Redtube,313,redtube.com
喵窝,315,nyavo.com
AVMOO,3341,avmoo.xyz;avmoo.net;tellme.pw
KissJAV,344,kissjav.com
星空论坛,345,seikuu.com
JAV Torrent Link,353,javtorrent.re
留园网,355,cool18.com
性吧,370,sex8.cc
91PORN,3712,91porn.com;p03.space;91p02.rocks;91p02.club;p02.space;91p12.space
MyGalgame,376,mmgal.com
GIF发源地,383,gifjia5.com
國模網,400,guomoo.pw
JAV HD Quality,408,maxjav.com
伊莉討論區,412,eyny.com
YouPorn,423,youporn.com
Danbooru,424,donmai.us
卡提諾論壇,430,ck101.com
XVIDEOS,4500,xvideos.com
SpankBang,464,spankbang.com
JavLibrary,4757,javlibrary.com;k25m.com;o23g.com;w24j.com;p26y.com
ExHentai / E-Hentai,4859,exhentai.org;e-hentai.org;ehtracker.org
JAV321,499,jav321.com
捷克論壇,507,jkforum.net
Getchu,509,getchu.com
AGREE美少女游戏联盟,513,galgamezo.cc
R18,547,r18.com
The Porn Dude,558,theporndude.com
SS同盟,563,sstm.moe
JAV MOST,576,javmost.com
爱弹幕,585,idanmu.at
2DFan,586,2dfan.com
萌幻之乡,600,huan.moe
AVSOX,602,avsox.net
gif动态图吧,607,xiugif.com
嗷呜ACG,627,awacg7.com
XNXX,668,xnxx.com
绅士仓库,669,cangku.moe
司機會所,678,xiuxiqu.top;sjhs.pw
Iwara,680,iwara.tv
JavBus,6827,javbus.com;busjav.cc;xwb2uooia5o59avwxb.com;seedmm.net;dmmsee.net;javbus.work;seedmm.cc;buscdn.net;seedmm.co;javbus.info;dmmbus.cc;dmmbus.co;busdmm.cc;busdmm.net;javbus2.pw;javbus.pw
紳士漫畫,711,wnacg.org;wnacg.com
草榴社區,7123,t66y.com;flexui.win;etet.men;o5b.club;s5r.club;dety.men;xz0.club;e8v.club
狩都高速,734,japonx.vip
色花堂,784,54sadsad.com;6677x.me
1024核工厂,7900,downmn.rocks;downsx.rocks;1024mzs.xyz;downmz.pw;downmn.pw;downmz.rocks;downmm.com;downmn.xyz;downmz.com;1024wanzhai.xyz;1024wanzhai.rocks
ZodGame,791,zodgame.us
xHamster,827,xhamster.com
魔性论坛,829,moxing.email
yande.re,847,yande.re
Sankaku Complex,852,sankakucomplex.com
第一会所,862,sis001.com
PLAYNO.1玩樂達人,862,playno1.com
nhentai,875,nhentai.net
灵梦御所,890,reimu.net
2DJGAME / Mikocon,937,2djgame.net;mikocon.com
Pornhub,9687,pornhub.com
DLsite,969,dlsite.com
